"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CG14777-PF" 3.90300629413826 0.013036756498196 1.82879758811929 0.00712859453823033 0.994312252650007 NA
"CG14778-PA" 8.59825653896279 -0.222192104319952 1.36442685208507 -0.162846475778754 0.870639314270297 NA
"CG14780-PA" 0.24688302163325 -1.41904814241044 4.99476698802488 -0.284106975523113 0.776328401446699 NA
"rush-PA" 30.7835230206068 1.22161769507864 0.835273722970417 1.46253576699899 0.143594450497089 0.491082594317998
"rush-PB" 30.7835230206068 1.22161769507864 0.835273722970417 1.46253576699899 0.143594450497089 0.491082594317998
"inc-PB" 21.255147078178 -0.488504460850247 0.955875128437172 -0.511054683103783 0.609312766766072 0.91674490278003
"inc-PD" 21.255147078178 -0.488504460850247 0.955875128437172 -0.511054683103783 0.609312766766072 0.91674490278003
"inc-PC" 21.255147078178 -0.488504460850247 0.955875128437172 -0.511054683103783 0.609312766766072 0.91674490278003
"dor-PA" 132.990495040852 0.0232681643625856 0.433422366291155 0.0536847338121794 0.957186345914095 0.995830382596433
"hfw-PA" 105.936758093067 0.303162844284786 0.449344538794163 0.674677932212858 0.499880407917925 0.857742370458266
"hfw-PB" 105.936758093067 0.303162844284786 0.449344538794163 0.674677932212858 0.499880407917925 0.857742370458266
"CG14797-PB" 0 NA NA NA NA NA
"CG14797-PC" 0 NA NA NA NA NA
"b6-PA" 4.34225772409928 0.28173032245096 1.98840210464719 0.14168679553925 0.887327405343817 NA
"Scgdelta-PA" 0.953143222777364 3.41677314828846 4.84156822098835 0.705716204405968 0.480364641719172 NA
"Scgdelta-PC" 0.953143222777364 3.41677314828846 4.84156822098835 0.705716204405968 0.480364641719172 NA
"Scgdelta-PD" 0.953143222777364 3.41677314828846 4.84156822098835 0.705716204405968 0.480364641719172 NA
"Scgdelta-PE" 0.953143222777364 3.41677314828846 4.84156822098835 0.705716204405968 0.480364641719172 NA
"CG3795-PA" 0 NA NA NA NA NA
"CG3795-PB" 0 NA NA NA NA NA
"a6-PA" 15.0623511518393 -0.570717167502119 1.15545800188031 -0.493931554910153 0.621354518518161 0.92304951953688
"a6-PB" 15.0623511518393 -0.570717167502119 1.15545800188031 -0.493931554910153 0.621354518518161 0.92304951953688
"a6-PC" 15.0623511518393 -0.570717167502119 1.15545800188031 -0.493931554910153 0.621354518518161 0.92304951953688
"CG3740-PA" 5.78460191509487 -0.0244170825140553 1.68643772315026 -0.0144784964062854 0.988448234848568 NA
"Mur2B-PA" 74.8238279532221 1.02495244818245 0.892644773216392 1.14821985064599 0.250877816517981 0.640568477855759
"Mur2B-PC" 74.8238279532221 1.02495244818245 0.892644773216392 1.14821985064599 0.250877816517981 0.640568477855759
"Mur2B-PB" 0 NA NA NA NA NA
"CG14795-PB" 4.73963548773741 1.95851427578633 2.22005662339229 0.882191136545735 0.377673454258317 NA
"sta-PA" 1284.64676006315 -0.491074938509372 0.264984705046258 -1.85321993744373 0.0638508411360769 0.31702924225573
"sta-PB" 1284.64676006315 -0.491074938509372 0.264984705046258 -1.85321993744373 0.0638508411360769 0.31702924225573
"sta-PE" 1284.64676006315 -0.491074938509372 0.264984705046258 -1.85321993744373 0.0638508411360769 0.31702924225573
"sta-PF" 1284.64676006315 -0.491074938509372 0.264984705046258 -1.85321993744373 0.0638508411360769 0.31702924225573
"Rab27-PB" 3.04680167037649 5.08774425845349 4.80266907227537 1.0593576575625 0.289436925612765 NA
"Rab27-PC" 3.23295965612669 0.758093997019023 3.28829940005685 0.230542874838561 0.817669951285577 NA
"CG32808-PA" 9.22350978313252 0.447764510958878 1.62593686274033 0.275388621304902 0.783017685135267 0.967696773141039
"O-fut2-PA" 49.8832178125639 -0.227661524083973 0.687803942943913 -0.330997701335564 0.740646221852721 0.958594863407009
