"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"CG32473-PB" 41.8371887089887 -6.43671504902841 1.63516182654368 -3.93643916127496 8.26995735569479e-05 0.00249956144248059
"CG9286-PA" 330.370380396679 -1.4883738648951 0.411324351007954 -3.61849197901323 0.000296324681929024 0.00688285110518976
"Abi-PD" 35.214338999662 -8.58144858422969 2.0123580671579 -4.26437457840168 2.00462907657865e-05 0.00080546186309165
"CG14357-PB" 20.2875619108404 7.82561093219263 2.16737789719667 3.61063520224804 0.000305448026116467 0.00703354593009344
"BigH1-PA" 257.760348794902 -2.50391672972352 0.422420297167944 -5.92754833636231 3.07490854243526e-09 5.60625260704649e-07
"put-PB" 94.6674301562711 -10.0083813191771 1.76355304250605 -5.67512350235574 1.38588632560486e-08 1.87992708295649e-06
"Cys-PA" 368.946467271367 1.74723495253625 0.284165935610601 6.14864321714662 7.81485448236399e-10 1.79065773787789e-07
"CG6912-PA" 52.3971298892627 3.2856961414645 0.860779464674771 3.81711724815129 0.000135020016023081 0.0037045297600119
"FK506-bp1-PA" 3430.60335600408 -1.63778945113223 0.223776344126988 -7.31886767353222 2.50072034797413e-13 1.51436479358034e-10
"Art3-PA" 298.152614281359 -1.57616447950365 0.432340336470089 -3.64565678135077 0.000266709749697111 0.00640004472060167
"Spn88Ea-PA" 143.609183994205 2.06184235239525 0.571082981776844 3.61040762584121 0.000305716168346241 0.00703354593009344
"Spn88Ea-PB" 143.609183994205 2.06184235239525 0.571082981776844 3.61040762584121 0.000305716168346241 0.00703354593009344
"m-cup-PA" 46.3294583110579 -3.37118674586263 0.925189520782416 -3.64377964745178 0.000268663452392818 0.00640004472060167
"m-cup-PB" 23.152419316691 8.01698009860516 2.22182683800754 3.60828304054267 0.000308230120180557 0.00707219204029976
"Ns1-PA" 966.371723305135 -1.14069033542496 0.244846824596005 -4.65879162332242 3.18070969356623e-06 0.000179176457023618
"l(3)07882-PA" 423.837841013934 -1.29216900859027 0.342621814066607 -3.77141488235499 0.000162324528801023 0.00428718802235225
"l(3)07882-PB" 423.837841013934 -1.29216900859027 0.342621814066607 -3.77141488235499 0.000162324528801023 0.00428718802235225
"htl-PB" 92.2386025380166 1.85859356393275 0.504268966387489 3.68571870929804 0.000228058134226868 0.00560428075934894
"htl-PA" 92.2386025380166 1.85859356393275 0.504268966387489 3.68571870929804 0.000228058134226868 0.00560428075934894
"htl-PC" 92.2386025380166 1.85859356393275 0.504268966387489 3.68571870929804 0.000228058134226868 0.00560428075934894
"Non3-PA" 322.987394825431 -1.44125213804951 0.396913036424298 -3.6311534411503 0.000282157359513457 0.00662639915223015
"CG8064-PA" 487.208773722128 -1.47508606521983 0.365249187101687 -4.03857453297812 5.37770064856444e-05 0.00178442841872913
"CG18600-PA" 410.130069879217 -1.33377833198972 0.381425493154023 -3.49682534578549 0.000470829978057579 0.00977159499136391
"CG7702-PA" 77.7770092047216 2.50669608121616 0.646985183052202 3.87442579347897 0.000106876403359521 0.003035174368095
"CG7702-PB" 77.7770092047216 2.50669608121616 0.646985183052202 3.87442579347897 0.000106876403359521 0.003035174368095
